,movie,year,imdb,metascore,votes,n_imdb
2495,Goodnight Mommy,2014,6.7,81,27308,67.0
2496,Star Wars: Episode VII - The Force Awakens,2015,8.1,81,669321,81.0
2497,Mad Max: Fury Road,2015,8.1,90,641078,81.0
2498,The Martian,2015,8.0,80,562951,80.0
2499,Avengers: Age of Ultron,2015,7.4,66,522968,74.0
2500,The Revenant,2015,8.0,76,505864,80.0
2501,Jurassic World,2015,7.0,59,459301,70.0
2502,Inside Out,2015,8.2,94,423398,82.0
2503,Ant-Man,2015,7.3,64,374786,73.0
2504,The Hateful Eight,2015,7.8,68,346386,78.0
2505,Spectre,2015,6.8,60,311562,68.0
2506,Furious 7,2015,7.2,67,304107,72.0
2507,Spotlight,2015,8.1,93,273732,81.0
2508,Mission: Impossible - Rogue Nation,2015,7.4,75,259893,74.0
2509,The Big Short,2015,7.8,81,250374,78.0
2510,Sicario,2015,7.6,82,247027,76.0
2511,Fifty Shades of Grey,2015,4.1,46,246268,41.0
2512,Room,2015,8.2,86,229052,82.0
2513,Bridge of Spies,2015,7.6,81,220814,76.0
2514,Terminator Genisys,2015,6.5,38,207629,65.0
2515,The Man from U.N.C.L.E.,2015,7.3,56,205795,73.0
2516,The Hunger Games: Mockingjay - Part 2,2015,6.6,65,205441,66.0
2517,Chappie,2015,6.9,41,190667,69.0
2518,Spy,2015,7.1,75,189838,71.0
2519,Creed,2015,7.6,82,177713,76.0
2520,Insurgent,2015,6.3,42,173771,63.0
2521,Southpaw,2015,7.4,57,171311,74.0
2522,Focus,2015,6.6,56,167888,66.0
2523,San Andreas,2015,6.1,43,163281,61.0
2524,Minions,2015,6.4,56,162243,64.0
2525,The Intern,2015,7.1,51,161428,71.0
2526,Maze Runner: The Scorch Trials,2015,6.3,43,161205,63.0
2527,Everest,2015,7.1,64,156557,71.0
2528,Jupiter Ascending,2015,5.3,40,151141,53.0
2529,Tomorrowland,2015,6.5,60,144408,65.0
2530,Straight Outta Compton,2015,7.9,72,142012,79.0
2531,Ted 2,2015,6.3,48,138178,63.0
2532,Black Mass,2015,6.9,68,137086,69.0
2533,The Lobster,2015,7.1,82,124416,71.0
2534,Fantastic Four,2015,4.3,27,122946,43.0
2535,Cinderella,2015,7.0,67,118438,70.0
2536,Steve Jobs,2015,7.2,82,117538,72.0
2537,The Age of Adaline,2015,7.2,51,114005,72.0
2538,The Danish Girl,2015,7.0,66,112496,70.0
2539,Legend,2015,7.0,55,111059,70.0
2540,Pitch Perfect 2,2015,6.5,63,109597,65.0
2541,Trainwreck,2015,6.3,75,107575,63.0
2542,The VVitch: A New-England Folktale,2015,6.8,83,104493,68.0
2543,Pixels,2015,5.6,27,102636,56.0
2544,Joy,2015,6.6,56,99029,66.0
2545,Crimson Peak,2015,6.5,66,98831,65.0
2546,The Gift,2015,7.1,77,98699,71.0
2547,Get Hard,2015,6.0,34,96189,60.0
2548,Brooklyn,2015,7.5,87,96182,75.0
2549,The Walk,2015,7.3,70,93440,73.0
2550,Me and Earl and the Dying Girl,2015,7.8,74,93277,78.0
2551,In the Heart of the Sea,2015,6.9,47,91645,69.0
2552,Run All Night,2015,6.6,59,83574,66.0
2553,The Visit,2015,6.2,55,83125,62.0
2554,Carol,2015,7.2,95,79036,72.0
2555,The Good Dinosaur,2015,6.8,66,78179,68.0
2556,Home,2015,6.7,55,78070,67.0
2557,Burnt,2015,6.6,42,77582,66.0
2558,Vacation,2015,6.1,34,75428,61.0
2559,Paper Towns,2015,6.3,56,73512,63.0
2560,The Last Witch Hunter,2015,6.0,34,72179,60.0
2561,Hitman: Agent 47,2015,5.7,28,71277,57.0
2562,Hotel Transylvania 2,2015,6.7,44,70281,67.0
2563,Daddy's Home,2015,6.1,42,69718,61.0
2564,Self/less,2015,6.5,34,67992,65.0
2565,Dope,2015,7.3,72,67281,73.0
2566,American Ultra,2015,6.1,50,65194,61.0
2567,Entourage,2015,6.6,38,65070,66.0
2568,Green Room,2015,7.0,79,64913,70.0
2569,Insidious: Chapter 3,2015,6.1,52,64334,61.0
2570,Project Almanac,2015,6.4,47,63828,64.0
2571,Hardcore Henry,2015,6.7,51,62413,67.0
2572,Concussion,2015,7.1,55,62206,71.0
2573,Demolition,2015,7.0,49,60351,70.0
2574,The Wedding Ringer,2015,6.7,35,59430,67.0
2575,The Longest Ride,2015,7.1,33,59202,71.0
2576,Eye in the Sky,2015,7.3,73,59082,73.0
2577,No Escape,2015,6.8,38,58679,68.0
2578,The DUFF,2015,6.5,56,58561,65.0
2579,Trumbo,2015,7.5,60,58297,75.0
2580,Goosebumps,2015,6.3,60,58262,63.0
2581,Knock Knock,2015,4.9,53,54269,49.0
2582,Youth,2015,7.3,64,53323,73.0
2583,Mortdecai,2015,5.5,27,52777,55.0
2584,Beasts of No Nation,2015,7.8,79,51040,78.0
2585,Sisters,2015,6.0,58,50855,60.0
2586,Mr. Holmes,2015,6.9,67,49767,69.0
2587,Pan,2015,5.8,36,48389,58.0
2588,Bone Tomahawk,2015,7.1,72,48321,71.0
2589,Child 44,2015,6.5,41,48311,65.0
2590,Poltergeist,2015,5.0,47,46451,50.0
2591,Aloha,2015,5.4,40,45673,54.0
2592,Anomalisa,2015,7.2,88,45425,72.0
2593,Point Break,2015,5.3,34,45157,53.0
2594,The Night Before,2015,6.4,58,44536,64.0
2595,Blackhat,2015,5.4,51,43464,54.0
2596,Magic Mike XXL,2015,5.7,60,42908,57.0
2597,Krampus,2015,6.2,49,42753,62.0
2598,True Story,2015,6.3,50,42642,63.0
2599,Macbeth,2015,6.7,71,42202,67.0
2600,The Invitation,2015,6.7,74,42185,67.0
2601,Irrational Man,2015,6.6,53,40821,66.0
2602,Wild Card,2015,5.6,40,40590,56.0
2603,Woman in Gold,2015,7.3,51,40286,73.0
2604,The Little Prince,2015,7.8,70,40162,78.0
2605,Hot Pursuit,2015,5.1,31,39487,51.0
2606,Victor Frankenstein,2015,6.0,36,38859,60.0
2607,The SpongeBob Movie: Sponge Out of Water,2015,6.0,62,37667,60.0
2608,Man Up,2015,6.8,69,37445,68.0
2609,Solace,2015,6.4,36,37027,64.0
2610,Amy,2015,7.8,85,36705,78.0
2611,Victoria,2015,7.7,77,35168,77.0
2612,Far from the Madding Crowd,2015,7.1,71,34739,71.0
2613,The Dressmaker,2015,7.1,47,34356,71.0
2614,Maggie,2015,5.6,52,34341,56.0
2615,The Peanuts Movie,2015,7.1,67,34081,71.0
2616,Slow West,2015,6.9,72,32290,69.0
2617,Scouts Guide to the Zombie Apocalypse,2015,6.3,32,32210,63.0
2618,Dark Places,2015,6.2,39,32122,62.0
2619,The Lazarus Effect,2015,5.2,31,32043,52.0
2620,Sinister 2,2015,5.3,32,31902,53.0
2621,The Ridiculous 6,2015,4.8,18,31553,48.0
2622,The Gunman,2015,5.8,39,31536,58.0
2623,The Man Who Knew Infinity,2015,7.2,56,31156,72.0
2624,The Transporter Refueled,2015,5.1,32,31148,51.0
2625,Colonia,2015,7.1,33,31028,71.0
2626,Last Knights,2015,6.2,27,31022,62.0
2627,Saul fia,2015,7.5,89,30983,75.0
2628,Hot Tub Time Machine 2,2015,5.1,29,30958,51.0
2629,Mr. Right,2015,6.3,52,30933,63.0
2630,The Boy Next Door,2015,4.6,30,30435,46.0
2631,Yip Man 3,2015,7.1,57,30234,71.0
2632,Going Clear: Scientology & the Prison of Belief,2015,8.1,80,28833,81.0
2633,Sleeping with Other People,2015,6.5,64,28192,65.0
2634,Secret in Their Eyes,2015,6.2,45,28070,62.0
2635,Shaun the Sheep Movie,2015,7.4,81,27417,74.0
2636,Suffragette,2015,6.9,67,27393,69.0
2637,Absolutely Anything,2015,6.0,31,27129,60.0
2638,The 33,2015,6.9,55,27060,69.0
2639,"McFarland, USA",2015,7.4,60,27036,74.0
2640,Regression,2015,5.7,32,26892,57.0
2641,Paul Blart: Mall Cop 2,2015,4.4,13,26628,44.0
2642,High-Rise,2015,5.7,65,26587,57.0
2643,We Are Your Friends,2015,6.2,46,26416,62.0
2644,Unfinished Business,2015,5.4,32,25595,54.0
2645,The Second Best Exotic Marigold Hotel,2015,6.6,51,25285,66.0
2646,Love,2015,6.0,51,24530,60.0
2647,Survivor,2015,5.6,28,24483,56.0
2648,Mustang,2015,7.7,83,24019,77.0
2649,Danny Collins,2015,7.0,58,23968,70.0
2650,The Final Girls,2015,6.6,59,23845,66.0
2651,Cop Car,2015,6.3,66,23622,63.0
2652,Deadpool,2016,8.0,65,641109,80.0
2653,Batman v Superman: Dawn of Justice,2016,6.7,44,482313,67.0
2654,Captain America: Civil War,2016,7.9,75,421168,79.0
2655,Suicide Squad,2016,6.2,40,408562,62.0
2656,Arrival,2016,8.0,81,357117,80.0
2657,Rogue One,2016,7.9,65,337456,79.0
2658,Doctor Strange,2016,7.6,72,312086,76.0
2659,Zootopia,2016,8.1,78,304431,81.0
2660,X-Men: Apocalypse,2016,7.1,52,283712,71.0
2661,La La Land,2016,8.2,93,276441,82.0
2662,Fantastic Beasts and Where to Find Them,2016,7.4,66,243968,74.0
2663,Hacksaw Ridge,2016,8.2,71,227968,82.0
2664,Passengers,2016,7.0,41,207992,70.0
2665,The Jungle Book,2016,7.5,77,201641,75.0
2666,10 Cloverfield Lane,2016,7.2,76,197402,72.0
2667,Warcraft,2016,7.0,32,190995,70.0
2668,The Nice Guys,2016,7.4,70,180683,74.0
2669,Split,2016,7.3,62,180272,73.0
2670,The Accountant,2016,7.4,51,170676,74.0
2671,Star Trek Beyond,2016,7.1,68,169799,71.0
2672,Finding Dory,2016,7.4,77,162544,74.0
2673,Now You See Me 2,2016,6.5,46,161268,65.0
2674,Jason Bourne,2016,6.7,58,155585,67.0
2675,Ghostbusters,2016,5.3,60,151126,53.0
2676,The Promise,2016,5.9,49,150710,59.0
2677,Moonlight,2016,7.5,99,145016,75.0
2678,Manchester by the Sea,2016,7.9,96,143295,79.0
2679,Sully,2016,7.5,74,143200,75.0
2680,The Conjuring 2,2016,7.4,65,140782,74.0
2681,Nocturnal Animals,2016,7.5,67,133340,75.0
2682,Independence Day: Resurgence,2016,5.3,32,130981,53.0
2683,Moana,2016,7.7,81,130285,77.0
2684,The Magnificent Seven,2016,6.9,54,127790,69.0
2685,Don't Breathe,2016,7.2,71,126517,72.0
2686,The Secret Life of Pets,2016,6.6,61,125094,66.0
2687,Sausage Party,2016,6.3,66,124635,63.0
2688,The Legend of Tarzan,2016,6.3,44,122035,63.0
2689,Assassin's Creed,2016,5.9,36,120980,59.0
2690,Hell or High Water,2016,7.7,88,120647,77.0
2691,Me Before You,2016,7.4,51,117345,74.0
2692,Lion,2016,8.1,69,112821,81.0
2693,War Dogs,2016,7.1,57,112365,71.0
2694,Captain Fantastic,2016,7.9,72,110631,79.0
2695,The Girl on the Train,2016,6.5,48,106666,65.0
2696,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,106382,67.0
2697,Hidden Figures,2016,7.8,74,103660,78.0
2698,London Has Fallen,2016,5.9,28,102428,59.0
2699,Inferno,2016,6.2,42,101546,62.0
2700,Central Intelligence,2016,6.3,52,100438,63.0
2701,Deepwater Horizon,2016,7.2,68,94534,72.0
2702,Kung Fu Panda 3,2016,7.2,66,91454,72.0
2703,"Hail, Caesar!",2016,6.3,72,90656,63.0
2704,Snowden,2016,7.3,58,83297,73.0
2705,Allied,2016,7.1,60,83110,71.0
2706,Jack Reacher: Never Go Back,2016,6.1,47,82599,61.0
2707,The Shallows,2016,6.4,59,80878,64.0
2708,13 Hours,2016,7.3,48,78726,73.0
2709,Neighbors 2: Sorority Rising,2016,5.7,58,78594,57.0
2710,Dirty Grandpa,2016,6.0,21,77324,60.0
2711,Kubo and the Two Strings,2016,7.8,84,75944,78.0
2712,Gods of Egypt,2016,5.5,25,75075,55.0
2713,The 5th Wave,2016,5.2,33,74122,52.0
2714,Lights Out,2016,6.4,58,73008,64.0
2715,Nerve,2016,6.6,58,72496,66.0
2716,Allegiant,2016,5.7,33,72209,57.0
2717,Money Monster,2016,6.5,55,69981,65.0
2718,Bad Moms,2016,6.2,60,69830,62.0
2719,The Great Wall,2016,6.0,42,69354,60.0
2720,The Huntsman: Winter's War,2016,6.1,35,68181,61.0
2721,Sing,2016,7.2,59,67680,72.0
2722,The Brothers Grimsby,2016,6.2,44,64582,62.0
2723,Swiss Army Man,2016,7.0,64,64144,70.0
2724,Busanhaeng,2016,7.5,72,62654,75.0
2725,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,40,61425,60.0
2726,How to Be Single,2016,6.1,51,61169,61.0
2727,Alice Through the Looking Glass,2016,6.2,34,59181,62.0
2728,Eddie the Eagle,2016,7.4,54,57757,74.0
2729,Angry Birds,2016,6.3,43,57040,63.0
2730,The Purge: Election Year,2016,6.0,55,56103,60.0
2731,Mike and Dave Need Wedding Dates,2016,6.0,51,55988,60.0
2732,Midnight Special,2016,6.7,76,55932,67.0
2733,Hunt for the Wilderpeople,2016,7.9,81,54695,79.0
2734,Fences,2016,7.3,79,54628,73.0
2735,Why Him?,2016,6.3,39,54235,63.0
2736,Sing Street,2016,8.0,79,54229,80.0
2737,Silence,2016,7.3,79,53405,73.0
2738,The BFG,2016,6.4,66,52752,64.0
2739,The Boy,2016,6.0,42,52511,60.0
2740,The Neon Demon,2016,6.2,51,52272,62.0
2741,The Edge of Seventeen,2016,7.4,77,51762,74.0
2742,Resident Evil: The Final Chapter,2016,5.6,49,51264,56.0
2743,Mechanic: Resurrection,2016,5.6,38,50065,56.0
2744,Triple 9,2016,6.3,52,49440,63.0
2745,Zoolander 2,2016,4.7,34,49138,47.0
2746,Collateral Beauty,2016,6.8,23,48191,68.0
2747,Hush,2016,6.6,67,47790,66.0
2748,Café Society,2016,6.7,64,47285,67.0
2749,The Infiltrator,2016,7.1,66,45646,71.0
2750,The Finest Hours,2016,6.8,58,45497,68.0
2751,Bridget Jones's Baby,2016,6.6,59,44733,66.0
2752,Jackie,2016,6.8,81,44594,68.0
2753,Underworld: Blood Wars,2016,5.8,23,44505,58.0
2754,Patriots Day,2016,7.4,69,43873,74.0
2755,The Founder,2016,7.2,66,43765,72.0
2756,A Monster Calls,2016,7.5,76,42941,75.0
2757,Trolls,2016,6.5,56,42200,65.0
2758,Blood Father,2016,6.4,66,41407,64.0
2759,The Autopsy of Jane Doe,2016,6.8,65,40006,68.0
2760,Criminal,2016,6.3,36,39686,63.0
2761,Ride Along 2,2016,5.9,32,39146,59.0
2762,Kimi no na wa,2016,8.6,79,38941,86.0
2763,Pete's Dragon,2016,6.8,71,38111,68.0
2764,Everybody Wants Some!!,2016,7.0,83,37562,70.0
2765,Elle,2016,7.2,89,37161,72.0
2766,Whiskey Tango Foxtrot,2016,6.6,57,37062,66.0
2767,Storks,2016,6.9,56,36484,69.0
2768,Ah-ga-ssi,2016,8.1,84,36399,81.0
2769,Ice Age: Collision Course,2016,5.7,34,36112,57.0
2770,Pride and Prejudice and Zombies,2016,5.8,45,35740,58.0
2771,The Fundamentals of Caring,2016,7.4,55,33870,74.0
2772,Office Christmas Party,2016,5.8,42,33581,58.0
2773,Florence Foster Jenkins,2016,6.9,71,33052,69.0
2774,Keanu,2016,6.3,63,32869,63.0
2775,Keeping Up with the Joneses,2016,5.8,34,32613,58.0
2776,Popstar: Never Stop Never Stopping,2016,6.7,68,31712,67.0
2777,Free State of Jones,2016,6.9,53,31484,69.0
2778,Ouija: Origin of Evil,2016,6.1,65,31249,61.0
2779,A Cure for Wellness,2016,6.5,47,30816,65.0
2780,Live by Night,2016,6.4,49,30684,64.0
2781,The Boss,2016,5.4,40,30353,54.0
2782,Masterminds,2016,5.8,47,30016,58.0
2783,Ben-Hur,2016,5.7,38,29671,57.0
2784,The Forest,2016,4.8,34,29337,48.0
2785,Paterson,2016,7.4,90,29324,74.0
2786,The Light Between Oceans,2016,7.2,60,28918,72.0
2787,Imperium,2016,6.5,68,28641,65.0
2788,A Hologram for the King,2016,6.1,58,27495,61.0
2789,Blair Witch,2016,5.0,47,26912,50.0
2790,The Girl with All the Gifts,2016,6.7,67,26893,67.0
2791,Toni Erdmann,2016,7.6,93,25953,76.0
2792,Anthropoid,2016,7.2,59,25507,72.0
2793,The Do-Over,2016,5.7,22,25342,57.0
2794,"I, Daniel Blake",2016,7.9,78,25328,79.0
2795,Forushande,2016,8.0,85,24398,80.0
2796,Race,2016,7.1,56,24335,71.0
2797,Gold,2016,6.7,49,23754,67.0
2798,Morgan,2016,5.8,48,23633,58.0
2799,Bastille Day,2016,6.3,48,21912,63.0
2800,My Big Fat Greek Wedding 2,2016,6.0,37,21345,60.0
2801,The Choice,2016,6.6,26,21280,66.0
2802,Miss Sloane,2016,7.4,64,21198,74.0
2803,Mother's Day,2016,5.6,18,20993,56.0
2804,American Honey,2016,7.0,79,20810,70.0
2805,The Wailing,2016,7.5,81,19014,75.0
2806,Logan,2017,8.3,77,323608,83.0
2807,Guardians of the Galaxy Vol. 2,2017,8.1,67,177055,81.0
2808,Wonder Woman,2017,8.0,76,159737,80.0
2809,John Wick: Chapter 2,2017,7.7,75,143739,77.0
2810,Beauty and the Beast,2017,7.5,65,139409,75.0
2811,Get Out,2017,7.8,84,138545,78.0
2812,Kong: Skull Island,2017,6.8,62,115751,68.0
2813,The Fate of the Furious,2017,7.0,56,100802,70.0
2814,Alien: Covenant,2017,6.8,65,89449,68.0
2815,Life,2017,6.7,54,83458,67.0
2816,Pirates of the Caribbean: Dead Men Tell No Tales,2017,7.0,39,79513,70.0
2817,Ghost in the Shell,2017,6.6,52,68858,66.0
2818,The LEGO Batman Movie,2017,7.4,75,62514,74.0
2819,xXx: Return of Xander Cage,2017,5.2,42,51183,52.0
2820,Fifty Shades Darker,2017,4.6,33,50332,46.0
2821,T2 Trainspotting,2017,7.4,67,49116,74.0
2822,Power Rangers,2017,6.3,44,46803,63.0
2823,The Mummy,2017,5.8,34,36130,58.0
2824,The Boss Baby,2017,6.4,50,33691,64.0
2825,A Dog's Purpose,2017,6.7,43,29861,67.0
2826,Transformers: The Last Knight,2017,5.3,28,22331,53.0
2827,Rings,2017,4.5,25,21110,45.0
2828,Baywatch,2017,5.8,37,20848,58.0
2829,The Space Between Us,2017,6.4,33,19427,64.0
2830,War Machine,2017,6.1,56,17182,61.0
2831,Fist Fight,2017,5.7,37,16883,57.0
2832,Baby Driver,2017,8.5,86,16525,85.0
2833,Gifted,2017,7.7,60,15238,77.0
2834,I Don't Feel at Home in This World Anymore,2017,7.0,75,14464,70.0
2835,Sleepless,2017,5.5,34,13901,55.0
2836,Before I Fall,2017,6.4,58,13467,64.0
2837,The Discovery,2017,6.3,55,13356,63.0
2838,The Ottoman Lieutenant,2017,8.4,26,12925,84.0
2839,The Shack,2017,6.3,32,11454,63.0
2840,CHIPS,2017,5.9,28,10649,59.0
2841,iBoy,2017,6.0,50,9764,60.0
2842,Snatched,2017,3.6,45,9192,36.0
2843,Going in Style,2017,6.8,50,9169,68.0
2844,The Circle,2017,5.3,43,9003,53.0
2845,Okja,2017,7.6,76,8780,76.0
2846,The Bye Bye Man,2017,4.3,37,8355,43.0
2847,Aftermath,2017,5.7,44,8038,57.0
2848,Cars 3,2017,7.2,59,8025,72.0
2849,It Comes at Night,2017,7.1,78,7969,71.0
2850,Sandy Wexler,2017,5.1,40,7296,51.0
2851,Sand Castle,2017,6.3,45,6981,63.0
2852,47 Meters Down,2017,6.0,53,6948,60.0
2853,The Zookeeper's Wife,2017,7.0,57,6544,70.0
2854,Table 19,2017,5.8,40,6471,58.0
2855,Smurfs: The Lost Village,2017,5.9,40,5336,59.0
2856,Despicable Me 3,2017,6.6,48,4393,66.0
2857,Berlin Syndrome,2017,6.3,70,4281,63.0
2858,Song to Song,2017,6.1,53,4255,61.0
2859,All Eyez on Me,2017,6.1,38,4165,61.0
2860,XX,2017,4.7,64,4056,47.0
2861,Voice from the Stone,2017,5.3,42,3563,53.0
2862,Rough Night,2017,5.5,51,3525,55.0
2863,Win It All,2017,6.3,78,3239,63.0
2864,Gong fu yu jia,2017,5.3,50,3167,53.0
2865,Kill Switch,2017,5.5,31,3063,55.0
2866,Bad Kids of Crestview Academy,2017,6.9,22,2922,69.0
2867,"Everything, Everything",2017,6.2,52,2698,62.0
2868,Small Crimes,2017,5.9,60,2680,59.0
2869,Captain Underpants: The First Epic Movie,2017,6.8,69,2652,68.0
2870,All Nighter,2017,5.6,37,2484,56.0
2871,Spider-Man: Homecoming,2017,7.9,72,2408,79.0
